country,isocode,ison,region,language,date,id,wgt,patience,risktaking,posrecip,negrecip,altruism,trust,subj_math_skills,female,age
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.275232333,-1.0583105,0.64793271,-1.3535153,0.42528516,1.1930972,-1.2375273,5,1,28
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.375928981,-0.038009163,1.2994894,1.0277412,0.91367674,0.77394778,-0.14354669,0,1,25
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.620124497,0.55732673,-0.93143392,-1.6927652,0.15555336,0.1593132,0.95043379,4,1,23
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.751857962,-0.67569751,1.3429487,-1.4892154,-0.41046262,-1.9440426,-0.87286705,1,1,33
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.388267966,-0.038009163,-0.99039066,0.95989114,0.49444747,0.48855007,1.6797541,5,0,22
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.300010339,-0.038009163,-1.2262175,1.3253982,-1.3165022,-0.61099267,0.58577365,5,0,27
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,1.110996651,-0.69895077,-0.33187592,-0.86764407,-0.50662929,1.240962,,5,0,67
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.499120539,-0.67569751,1.2405328,0.22887708,1.9415319,-0.45532128,1.6797541,6,0,19
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,2.78431212,-0.038009163,-1.108304,1.3253982,1.7233237,0.32652617,0.58577365,5,0,68
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.597880009,-1.3133858,0.53001922,0.59438413,-1.5864599,-0.55507654,-0.14354669,5,1,23
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,1.052447665,-1.3133858,-1.8747412,-0.50213695,-0.23667163,0.15528758,1.6797541,0,1,44
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.275232333,-0.67569751,0.75338167,0.95989114,0.37353554,0.72205722,1.6797541,10,1,32
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.341093564,-1.3133858,0.79684091,0.22887708,-1.5864599,0.98150975,1.315094,0,1,25
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.508243047,-1.3133858,1.0326678,0.59438413,0.37240604,0.72205722,-1.9668475,5,1,23
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.546559054,-0.9307729,-0.0470833,0.73008406,0.88757598,-0.44726995,-0.87286705,4,0,40
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.470562749,-0.038009163,-0.73906642,0.95989114,0.10357789,-2.2513599,1.6797541,3,0,31
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.608993817,0.14270924,-1.4620442,0.66223413,1.1834085,0.1593132,0.95043379,7,0,21
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.290385231,0.3022514,1.6270567,-0.000929995,1.30545,0.72205722,0.95043379,4,0,36
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.275232333,-0.4206222,0.51755482,1.0277412,-0.58447951,0.78199893,0.58577365,9,0,41
Afghanistan,AFG,4,Kabul,Dari,20-Apr-12,7.11E+12,0.383330641,-0.038009163,-0.75456381,0.95989114,-1.5864599,1.0852907,-0.14354669,5,1,27
Afghanistan,AFG,4,Kabul,Dari,20-Apr-12,7.11E+12,2.78431212,-0.16554686,-1.4620442,0.9445349,,-2.6105676,,2,1,57
Afghanistan,AFG,4,Kabul,Dari,20-Apr-12,7.11E+12,0.620124497,-0.038009163,-0.73906642,1.3253982,-0.14050497,-0.85836816,1.6797541,10,1,21
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.479163302,0.23306842,-0.51873702,0.59438413,2.3335309,2.0193193,-1.9668475,5,1,25
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.287497981,-0.038009163,-0.031585939,0.95989114,-1.5864599,0.98150975,1.315094,3,1,25
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.500017232,-0.038009163,-0.000591072,0.22887708,2.3335309,-0.76263845,-0.87286705,5,0,26
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.275232333,0.13236131,-0.2364179,1.0277412,2.2114894,-0.14800403,0.22111349,3,0,28
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.275232333,-1.3133858,0.045901209,0.59438413,2.3335309,0.98150975,0.58577365,3,0,24
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.275232333,-1.3133858,1.2250353,1.3253982,2.3335309,2.0193193,-0.14354669,1,0,22
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.275232333,-1.3133858,1.2250353,1.3253982,2.3335309,1.2928526,-0.50820684,0,0,37
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.556548603,1.0463012,-0.22395352,-3.1810505,0.88757598,0.77394778,-1.9668475,10,1,38
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.739231623,-0.038009163,-1.2262175,0.29672706,-1.5864599,-1.5329444,1.6797541,3,1,36
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,2.432602512,-0.038009163,-1.4030875,-0.000929995,-1.0465446,-2.2513599,-1.2375273,1,1,20
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.275232333,-1.0423083,-0.99039066,0.29672706,1.2795752,0.039106909,-0.87286705,2,1,20
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.948149169,-0.038009163,-0.22395352,0.95989114,0.37353554,-1.0699557,1.6797541,5,1,25
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.376450199,1.4077381,0.26623058,0.95989114,1.2527968,1.3966335,-0.14354669,8,0,30
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.418220497,-0.038009163,-0.20542303,0.95989114,0.88735014,0.46663046,1.6797541,6,0,77
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.487195054,-0.038009163,0.88679248,1.3253982,-1.5864599,1.2928526,1.6797541,5,0,17
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.608993817,-0.038009163,0.88679248,0.73008406,0.91345084,0.57846278,0.22111349,7,0,20
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,1.045551244,-0.038009163,0.76887906,0.59438413,-1.5864599,1.656086,1.6797541,8,0,63
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.275232333,0.93476576,-0.22395352,-1.1237082,-0.55837882,-1.6845902,0.22111349,3,1,18
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,1.633633646,0.17471373,0.14528421,-2.2880793,-0.26254642,-0.71477371,-1.6021874,3,1,45
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.695685754,-0.9307729,-0.85697979,-0.46054414,-0.68042028,0.51852095,0.22111349,8,1,44
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.275232333,-0.67569751,-0.75456381,-1.9904222,0.077477202,-0.16589798,-0.87286705,1,1,19
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,2.717991501,-0.54815984,-1.623417,-1.9225723,-0.26254642,-0.76263845,-0.87286705,5,1,20
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.964042079,-0.038009163,0.60447341,1.3253982,2.3335309,1.3966335,-0.14354669,9,0,21
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.487195054,-0.4206222,1.7866404,0.59438413,0.37353554,0.48675868,-0.14354669,10,0,23
Afghanistan,AFG,4,Kabul,Dari,24-Apr-12,7.11E+12,0.282337649,-0.038009163,-0.75456381,0.59438413,1.1575336,1.3966335,-0.14354669,6,0,25
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.385664889,-0.038009163,-0.22395352,1.3253982,-0.80246168,2.3306623,-0.14354669,5,0,30
Afghanistan,AFG,4,Kabul,Dari,25-Apr-12,7.11E+12,0.558678444,-0.67569751,0.79684091,1.3253982,0.37353554,0.41474,0.95043379,5,0,25
Afghanistan,AFG,4,Kabul,Dari,20-Apr-12,7.11E+12,0.369580187,-0.67569751,0.51755482,0.59438413,-1.5864599,1.240962,-0.14354669,10,1,25
Afghanistan,AFG,4,Kabul,Dari,20-Apr-12,7.11E+12,0.381182285,-0.77123076,-0.20542303,0.59438413,0.37353554,1.240962,1.315094,0,1,21
Afghanistan,AFG,4,Kabul,Dari,20-Apr-12,7.11E+12,0.275232333,-0.67569751,1.4608623,0.22887708,-0.23667163,-0.814529,1.6797541,10,1,50
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.635303809,-0.038009163,1.0326678,0.95989114,0.73965985,0.72205722,1.6797541,5,1,18
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.597880009,0.13753524,1.0326678,0.95989114,0.37353554,1.2928526,-0.14354669,8,1,22
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.408974662,-0.54815984,-0.60565555,0.59438413,1.3056759,-0.76666415,0.22111349,5,0,50
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.482021039,-0.16554686,0.26623058,0.95989114,1.9676325,-0.50721174,0.22111349,6,0,24
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,0.282337649,-0.038009163,0.50205743,1.3253982,1.1834085,0.77394778,1.6797541,2,0,25
Afghanistan,AFG,4,Kabul,Dari,23-Apr-12,7.11E+12,1.546763124,-0.038009163,0.29722548,0.59438413,0.66936797,-0.24775933,1.315094,0,0,50
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.809262697,-0.84794891,-0.89861006,-0.36643702,0.27736887,0.00364177,-1.6021874,3,0,50
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.973041005,-0.038009163,-0.87247717,1.3253982,-0.65454549,0.6182763,1.6797541,5,1,22
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,0.372074698,1.4077381,-0.70807159,0.66223413,1.8194904,1.0852907,0.58577365,0,1,22
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,1.812220156,-0.038009163,-0.99039066,1.3253982,-0.16637976,-1.0117128,-1.6021874,5,1,30
Afghanistan,AFG,4,Kabul,Dari,21-Apr-12,7.11E+12,1.373583212,-0.4206222,-0.44124988,-0.1628871,-0.28842118,0.50411719,-1.2375273,4,1,15
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.275232333,-0.29308453,-1.2107199,0.95989114,1.061367,0.52487344,0.95043379,6,1,20
Afghanistan,AFG,4,Kabul,Dari,22-Apr-12,7.11E+12,0.470562749,-0.29308453,1.0326678,0.95989114,-0.41046262,1.240962,-0.14354669,7,0,33
